Code,Description,Include in Settlement,Category,Notes
KN,Chapter 13 bankruptcy withdrawn,No,Bankruptcy,Ch 13 withdrawn
KO,Bankrupcty – undesignated chapter,No,Bankruptcy,Unspecified bankruptcy
KP,Account closed due to inactivity,No,Closed,Inactive closure
KQ,Credit line no longer available - in repayment phase,No,Repayment,In repayment
KR,Credit line reduced due to collateral depreciation,No,Credit Change,Line reduced
KS,Credit line suspended due to collateral depreciation,No,Suspended,Collateral issue
KT,Collateral released by creditor/balance owing,No,Collateral,Collateral released
KU,Loan modified under a federal government plan,No,Modification,Government modification
KV,Loan modified,No,Modification,Loan modified
KW,Account in forbearance,No,Forbearance,In forbearance
KZ,Account paid in full; was a voluntary surrender,No,Paid,Paid after surrender
LB,Homeowners association (hoa),No,HOA,HOA fees
R1,Pays as agreed,No,Payment Rating,Current/Good standing
R2,30 days past due,Yes,Payment Rating,30 days late - settleable
R3,60 days past due,Yes,Payment Rating,60 days late - settleable
R4,90 days past due,Yes,Payment Rating,90 days late - settleable
R7,Making regular payments under wage garnishment or similar arrangement,No,Payment Rating,Garnishment payments
R8,Repossession,No,Payment Rating,Repossessed
R9,Collection account,Yes,Payment Rating,In collections - settleable
